{name: '科大一号院', value: 31},
{name: '科大佳园北苑', value: 11},
{name: '万国城', value: 9},
{name: '德雅村', value: 8},
{name: '水木轩', value: 5},
{name: '香樟雅郡', value: 5},
{name: '科大佳园南苑', value: 5},
{name: '北辰三角洲', value: 4},
{name: '东风二村', value: 4},
{name: '宜家湘颂', value: 3},
{name: '山语城', value: 3},
{name: '东风社区', value: 3},
{name: '东风一村', value: 3},
{name: '山水湾', value: 3},
{name: '长沙七中教师村', value: 3},
{name: '丽都苑', value: 3},
{name: '王家垅社区', value: 3},
{name: '四方坪先福安置区', value: 3},
{name: '湘江世纪城', value: 3},
{name: '青青家园', value: 3},
{name: '四方锦城', value: 2},
{name: '五矿沁园金城', value: 2},
{name: '八方小区', value: 2},
{name: '兰亭都荟', value: 2},
{name: '沁园春御院', value: 2},
{name: '红商小区', value: 2},
{name: '华府航线', value: 2},
{name: '潇湘奥林匹克花园', value: 2},
{name: '好望谷云邸', value: 2},
{name: '盛大泽西城', value: 2},
{name: '科苑小区', value: 2},
{name: '科大景园', value: 2},
{name: '科大四号院', value: 2},
{name: '烈士公园', value: 2},
{name: '圣爵菲斯', value: 2},
{name: '听香水榭', value: 2},
{name: '珠江花城', value: 2},
{name: '瑞都豪庭', value: 2},
{name: '卓越蔚蓝海岸', value: 2},
{name: '第一湾', value: 2},
{name: '四方坪国税局宿舍', value: 2},
{name: '悦湖山', value: 2},
{name: '万科城', value: 2},
{name: '长沙县路口镇', value: 2},
{name: '长房云时代', value: 2},
{name: '恒大御景半岛', value: 2},
{name: '金麓小区', value: 2},
{name: '才子佳苑', value: 2},
{name: '万科魅力之城', value: 2},
{name: '振业城', value: 2},
{name: '世方水岸', value: 2},
{name: '时代倾城', value: 2},
{name: '时代先锋', value: 2},
{name: '万煦园', value: 2},
{name: '旺德府恺悦国际', value: 2},
{name: '城西公寓', value: 1},
{name: '安沙镇安沙社区', value: 1},
{name: '山水新城', value: 1},
{name: '富基世纪公园', value: 1},
{name: '惠泽园', value: 1},
{name: '宏聚地中海', value: 1},
{name: '政院社区军干所', value: 1},
{name: '安玺雅苑', value: 1},
{name: '宁乡裕源国际山庄', value: 1},
{name: '振湘小区', value: 1},
{name: '惠通才郡', value: 1},
{name: '威尔士春天', value: 1},
{name: '奥克斯广场', value: 1},
{name: '悦禧国际山庄', value: 1},
{name: '国庆新村', value: 1},
{name: '天元涉外景园', value: 1},
{name: '天健芙蓉盛世', value: 1},
{name: '天健壹平方英里', value: 1},
{name: '提亚那湾', value: 1},
{name: '天心区荣悦台', value: 1},
{name: '德雅社区', value: 1},
{name: '开福区黄兴北路588号', value: 1},
{name: '左家塘红花坡社区', value: 1},
{name: '德雅苑', value: 1},
{name: '开福区阳光大厦', value: 1},
{name: '开福区沙坪街道', value: 1},
{name: '德雅路750号北维宿舍', value: 1},
{name: '开福区捞刀河镇', value: 1},
{name: '开福区公安分局', value: 1},
{name: '开福区东风路观园公寓', value: 1},
{name: '德雅路东门', value: 1},
{name: '康桥长郡', value: 1},
{name: '四方小区', value: 1},
{name: '干杉乡', value: 1},
{name: '左岸春天', value: 1},
{name: '德馨园小区', value: 1},
